complaint_type,borough,count
APPLIANCE,BRONX,423
APPLIANCE,BROOKLYN,412
APPLIANCE,MANHATTAN,250
APPLIANCE,QUEENS,137
APPLIANCE,STATEN ISLAND,24
Abandoned Vehicle,BRONX,889
Abandoned Vehicle,BROOKLYN,1951
Abandoned Vehicle,MANHATTAN,184
Abandoned Vehicle,QUEENS,3370
Abandoned Vehicle,STATEN ISLAND,645
Abandoned Vehicle,Unspecified,4
Air Quality,BRONX,68
Air Quality,BROOKLYN,310
Air Quality,MANHATTAN,406
Air Quality,QUEENS,228
Air Quality,STATEN ISLAND,53
Animal Facility - No Permit,BRONX,1
Animal Facility - No Permit,BROOKLYN,1
Animal Facility - No Permit,MANHATTAN,2
Animal Facility - No Permit,QUEENS,6
Animal in a Park,BRONX,36
Animal in a Park,BROOKLYN,93
Animal in a Park,MANHATTAN,124
Animal in a Park,QUEENS,86
Animal in a Park,STATEN ISLAND,43
Animal in a Park,Unspecified,1
Animal-Abuse,BRONX,251
Animal-Abuse,BROOKLYN,389
Animal-Abuse,MANHATTAN,257
Animal-Abuse,QUEENS,353
Animal-Abuse,STATEN ISLAND,86
Asbestos,BRONX,30
Asbestos,BROOKLYN,75
Asbestos,MANHATTAN,83
Asbestos,QUEENS,59
Asbestos,STATEN ISLAND,5
BEST/Site Safety,BRONX,9
BEST/Site Safety,BROOKLYN,17
BEST/Site Safety,MANHATTAN,9
BEST/Site Safety,QUEENS,8
Beach/Pool/Sauna Complaint,BRONX,2
Beach/Pool/Sauna Complaint,BROOKLYN,9
Beach/Pool/Sauna Complaint,MANHATTAN,10
Beach/Pool/Sauna Complaint,QUEENS,4
Beach/Pool/Sauna Complaint,STATEN ISLAND,1
Bike Rack Condition,BROOKLYN,6
Bike Rack Condition,MANHATTAN,11
Bike Rack Condition,QUEENS,3
Bike/Roller/Skate Chronic,BRONX,1
Bike/Roller/Skate Chronic,BROOKLYN,18
Bike/Roller/Skate Chronic,MANHATTAN,28
Bike/Roller/Skate Chronic,QUEENS,5
Bike/Roller/Skate Chronic,STATEN ISLAND,3
Blocked Driveway,BRONX,3647
Blocked Driveway,BROOKLYN,7620
Blocked Driveway,MANHATTAN,535
Blocked Driveway,QUEENS,8766
Blocked Driveway,STATEN ISLAND,586
Boilers,BRONX,87
Boilers,BROOKLYN,136
Boilers,MANHATTAN,181
Boilers,QUEENS,73
Boilers,STATEN ISLAND,6
Borough Office,BRONX,1
Borough Office,BROOKLYN,1
Borough Office,MANHATTAN,2
Borough Office,QUEENS,3
Bottled Water,MANHATTAN,1
Bottled Water,STATEN ISLAND,1
Bridge Condition,BROOKLYN,1
Bridge Condition,Unspecified,20
Broken Parking Meter,BRONX,330
Broken Parking Meter,BROOKLYN,579
Broken Parking Meter,MANHATTAN,1371
Broken Parking Meter,QUEENS,839
Broken Parking Meter,STATEN ISLAND,43
Broken Parking Meter,Unspecified,351
Building Condition,BROOKLYN,1
Building Marshals office,QUEENS,2
Building/Use,BRONX,406
Building/Use,BROOKLYN,789
Building/Use,MANHATTAN,223
Building/Use,QUEENS,1256
Building/Use,STATEN ISLAND,199
Building/Use,Unspecified,1
Bus Stop Shelter Complaint,BRONX,23
Bus Stop Shelter Complaint,BROOKLYN,36
Bus Stop Shelter Complaint,MANHATTAN,41
Bus Stop Shelter Complaint,QUEENS,25
Bus Stop Shelter Complaint,STATEN ISLAND,16
Bus Stop Shelter Placement,BRONX,3
Bus Stop Shelter Placement,BROOKLYN,7
Bus Stop Shelter Placement,MANHATTAN,5
Bus Stop Shelter Placement,QUEENS,9
Bus Stop Shelter Placement,STATEN ISLAND,1
Calorie Labeling,QUEENS,1
Construction Lead Dust,BRONX,17
Construction Lead Dust,BROOKLYN,55
Construction Lead Dust,MANHATTAN,69
Construction Lead Dust,QUEENS,21
Construction Lead Dust,STATEN ISLAND,1
Consumer Complaint,BRONX,371
Consumer Complaint,BROOKLYN,524
Consumer Complaint,MANHATTAN,429
Consumer Complaint,QUEENS,519
Consumer Complaint,STATEN ISLAND,71
Consumer Complaint,Unspecified,24
Cooling Tower,MANHATTAN,1
Cranes and Derricks,BROOKLYN,6
Cranes and Derricks,MANHATTAN,9
Cranes and Derricks,QUEENS,3
Curb Condition,BRONX,52
Curb Condition,BROOKLYN,335
Curb Condition,MANHATTAN,96
Curb Condition,QUEENS,245
Curb Condition,STATEN ISLAND,47
DEP Street Condition,BRONX,1
DEP Street Condition,MANHATTAN,2
DEP Street Condition,QUEENS,22
DOOR/WINDOW,BRONX,675
DOOR/WINDOW,BROOKLYN,673
DOOR/WINDOW,MANHATTAN,529
DOOR/WINDOW,QUEENS,189
DOOR/WINDOW,STATEN ISLAND,22
Damaged Tree,BRONX,168
Damaged Tree,BROOKLYN,762
Damaged Tree,MANHATTAN,99
Damaged Tree,QUEENS,746
Damaged Tree,STATEN ISLAND,243
Damaged Tree,Unspecified,39
Day Care,BRONX,22
Day Care,BROOKLYN,15
Day Care,MANHATTAN,13
Day Care,QUEENS,19
Day Care,STATEN ISLAND,1
Dead/Dying Tree,BRONX,54
Dead/Dying Tree,BROOKLYN,158
Dead/Dying Tree,MANHATTAN,26
Dead/Dying Tree,QUEENS,238
Dead/Dying Tree,STATEN ISLAND,95
Dead/Dying Tree,Unspecified,7
Dept of Investigations,BRONX,2
Derelict Bicycle,BRONX,12
Derelict Bicycle,BROOKLYN,114
Derelict Bicycle,MANHATTAN,140
Derelict Bicycle,QUEENS,42
Derelict Bicycle,STATEN ISLAND,1
Derelict Vehicles,BRONX,1025
Derelict Vehicles,BROOKLYN,2322
Derelict Vehicles,MANHATTAN,152
Derelict Vehicles,QUEENS,1805
Derelict Vehicles,STATEN ISLAND,296
Derelict Vehicles,Unspecified,24
Dirty Conditions,BRONX,584
Dirty Conditions,BROOKLYN,1277
Dirty Conditions,MANHATTAN,477
Dirty Conditions,QUEENS,1023
Dirty Conditions,STATEN ISLAND,577
Dirty Conditions,Unspecified,65
Disorderly Youth,BRONX,1
Disorderly Youth,BROOKLYN,4
Disorderly Youth,MANHATTAN,2
Disorderly Youth,QUEENS,2
Disorderly Youth,STATEN ISLAND,2
Drinking,BRONX,24
Drinking,BROOKLYN,70
Drinking,MANHATTAN,28
Drinking,QUEENS,86
Drinking,STATEN ISLAND,5
