complaint_type,complaint_desc,borough,count
APPLIANCE,ELECTRIC/GAS RANGE,BRONX,28
APPLIANCE,ELECTRIC/GAS RANGE,BROOKLYN,27
APPLIANCE,ELECTRIC/GAS RANGE,MANHATTAN,18
APPLIANCE,ELECTRIC/GAS RANGE,QUEENS,8
APPLIANCE,ELECTRIC/GAS RANGE,STATEN ISLAND,3
APPLIANCE,REFRIGERATOR,BRONX,35
APPLIANCE,REFRIGERATOR,BROOKLYN,15
APPLIANCE,REFRIGERATOR,MANHATTAN,8
APPLIANCE,REFRIGERATOR,QUEENS,3
APPLIANCE,REFRIGERATOR,STATEN ISLAND,3
Abandoned Vehicle,With License Plate,BRONX,104
Abandoned Vehicle,With License Plate,BROOKLYN,206
Abandoned Vehicle,With License Plate,MANHATTAN,21
Abandoned Vehicle,With License Plate,QUEENS,335
Abandoned Vehicle,With License Plate,STATEN ISLAND,76
Air Quality,Air: Dust, Construction/Demolition (AE4),BRONX,1
Air Quality,Air: Dust, Construction/Demolition (AE4),BROOKLYN,6
Air Quality,Air: Dust, Construction/Demolition (AE4),MANHATTAN,4
Air Quality,Air: Dust, Construction/Demolition (AE4),QUEENS,3
Air Quality,Air: Dust, Other (Use Comments) (AE5),BROOKLYN,3
Air Quality,Air: Dust, Other (Use Comments) (AE5),QUEENS,4
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),MANHATTAN,1
Air Quality,Air: Odor/Fumes, Restaurant (AD2),BROOKLYN,4
Air Quality,Air: Odor/Fumes, Restaurant (AD2),MANHATTAN,1
Air Quality,Air: Odor/Fumes, Restaurant (AD2),QUEENS,4
Air Quality,Air: Odor/Fumes, Restaurant (AD2),STATEN ISLAND,1
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),BRONX,4
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),BROOKLYN,15
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),MANHATTAN,10
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),QUEENS,10
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),STATEN ISLAND,1
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),BRONX,2
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),BROOKLYN,3
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),MANHATTAN,2
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),QUEENS,7
Air Quality,Air: Smoke, Chimney or vent (AS1),BROOKLYN,2
Air Quality,Air: Smoke, Chimney or vent (AS1),MANHATTAN,7
Air Quality,Air: Smoke, Vehicular (AA4),MANHATTAN,1
Air Quality,Air: Smoke, Vehicular (AA4),QUEENS,3
Animal in a Park,Animal Waste,BROOKLYN,4
Animal in a Park,Animal Waste,MANHATTAN,3
Animal in a Park,Animal Waste,QUEENS,2
Animal in a Park,Dead Animal,BRONX,2
Animal in a Park,Dead Animal,BROOKLYN,1
Animal in a Park,Dead Animal,MANHATTAN,2
Animal in a Park,Dead Animal,QUEENS,5
Animal in a Park,Dog Off Leash,BRONX,3
Animal in a Park,Dog Off Leash,BROOKLYN,11
Animal in a Park,Dog Off Leash,MANHATTAN,2
Animal in a Park,Dog Off Leash,QUEENS,6
Animal in a Park,Domestic Strays,MANHATTAN,1
Animal in a Park,Domestic Strays,QUEENS,1
Animal in a Park,Injured Wildlife,BRONX,3
Animal in a Park,Injured Wildlife,BROOKLYN,2
Animal in a Park,Injured Wildlife,MANHATTAN,2
Animal in a Park,Injured Wildlife,QUEENS,2
Animal in a Park,Removing Wildlife,QUEENS,1
Animal in a Park,Wildlife Sighting,BRONX,1
Animal in a Park,Wildlife Sighting,QUEENS,2
Animal in a Park,Wildlife Sighting,STATEN ISLAND,1
Animal-Abuse,Chained,BRONX,3
Animal-Abuse,Chained,BROOKLYN,7
Animal-Abuse,Chained,QUEENS,1
Animal-Abuse,Chained,STATEN ISLAND,1
Animal-Abuse,In Car,BRONX,1
Animal-Abuse,In Car,MANHATTAN,1
Animal-Abuse,In Car,QUEENS,1
Animal-Abuse,Neglected,BRONX,7
Animal-Abuse,Neglected,BROOKLYN,46
Animal-Abuse,Neglected,MANHATTAN,9
Animal-Abuse,Neglected,QUEENS,6
Animal-Abuse,Neglected,STATEN ISLAND,4
Animal-Abuse,No Shelter,BRONX,1
Animal-Abuse,No Shelter,BROOKLYN,5
Animal-Abuse,Other (complaint details),BRONX,7
Animal-Abuse,Other (complaint details),BROOKLYN,10
Animal-Abuse,Other (complaint details),MANHATTAN,6
Animal-Abuse,Other (complaint details),QUEENS,17
Animal-Abuse,Other (complaint details),STATEN ISLAND,9
Animal-Abuse,Tortured,BRONX,1
Animal-Abuse,Tortured,BROOKLYN,32
Animal-Abuse,Tortured,MANHATTAN,2
Animal-Abuse,Tortured,QUEENS,5
Asbestos,Asbestos Complaint (B1),BROOKLYN,11
Asbestos,Asbestos Complaint (B1),MANHATTAN,3
Asbestos,Asbestos Complaint (B1),QUEENS,3
Asbestos,Asbestos Complaint (B1),STATEN ISLAND,2
BEST/Site Safety,Demolition - Unsafe,BRONX,2
BEST/Site Safety,Demolition - Unsafe,MANHATTAN,2
Bike Rack Condition,Bike Rack Repair,BROOKLYN,1
Bike Rack Condition,Bike Rack Repair,MANHATTAN,2
Blocked Driveway,No Access,BRONX,396
Blocked Driveway,No Access,BROOKLYN,765
Blocked Driveway,No Access,MANHATTAN,59
Blocked Driveway,No Access,QUEENS,737
Blocked Driveway,No Access,STATEN ISLAND,53
Blocked Driveway,Partial Access,BRONX,89
Blocked Driveway,Partial Access,BROOKLYN,213
Blocked Driveway,Partial Access,MANHATTAN,18
Blocked Driveway,Partial Access,QUEENS,269
Blocked Driveway,Partial Access,STATEN ISLAND,17
Boilers,Boiler - Defective/Inoperative/No Permit,BRONX,6
Boilers,Boiler - Defective/Inoperative/No Permit,BROOKLYN,8
Boilers,Boiler - Defective/Inoperative/No Permit,MANHATTAN,11
Boilers,Boiler - Defective/Inoperative/No Permit,QUEENS,4
Bridge Condition,Fence,Unspecified,1
Bridge Condition,Graffiti - Bridge,Unspecified,1
Bridge Condition,Pothole,Unspecified,2
Broken Parking Meter,Bent/Loose,BROOKLYN,1
Broken Parking Meter,Coin or Card Did Not Register,BRONX,3
Broken Parking Meter,Coin or Card Did Not Register,BROOKLYN,12
Broken Parking Meter,Coin or Card Did Not Register,MANHATTAN,11
Broken Parking Meter,Coin or Card Did Not Register,QUEENS,12
Broken Parking Meter,Coin or Card Did Not Register,Unspecified,8
Broken Parking Meter,Credit Card Stuck in Meter,BROOKLYN,3
Broken Parking Meter,Credit Card Stuck in Meter,MANHATTAN,2
Broken Parking Meter,Credit Card Stuck in Meter,QUEENS,1
Broken Parking Meter,Credit Card Stuck in Meter,Unspecified,1
Broken Parking Meter,Missing/Stump,BROOKLYN,1
Broken Parking Meter,No Receipt,BROOKLYN,4
Broken Parking Meter,No Receipt,MANHATTAN,7
Broken Parking Meter,No Receipt,QUEENS,4
Broken Parking Meter,No Receipt,STATEN ISLAND,1
Broken Parking Meter,No Receipt,Unspecified,6
Broken Parking Meter,Out of Order,BROOKLYN,12
