complaint_type,complaint_desc,borough,count
Noise,Noise: Barking Dog (NR5),BRONX,9
Noise,Noise: Barking Dog (NR5),BROOKLYN,31
Noise,Noise: Barking Dog (NR5),MANHATTAN,14
Noise,Noise: Barking Dog (NR5),QUEENS,26
Noise,Noise: Barking Dog (NR5),STATEN ISLAND,13
Noise,Noise: Ice Cream Truck (NR4),BRONX,3
Noise,Noise: Ice Cream Truck (NR4),BROOKLYN,12
Noise,Noise: Ice Cream Truck (NR4),MANHATTAN,9
Noise,Noise: Ice Cream Truck (NR4),QUEENS,5
Noise,Noise: Ice Cream Truck (NR4),STATEN ISLAND,1
Noise,Noise: Ice Cream Truck (NR4),Unspecified,1
Noise,Noise: Other Animals (NR6),BROOKLYN,1
Noise,Noise: Other Animals (NR6),QUEENS,1
Noise,Noise: Other Animals (NR6),STATEN ISLAND,1
Noise,Noise:  lawn care equipment (NCL),BRONX,2
Noise,Noise:  lawn care equipment (NCL),BROOKLYN,4
Noise,Noise:  lawn care equipment (NCL),MANHATTAN,5
Noise,Noise:  lawn care equipment (NCL),QUEENS,1
Noise,Noise:  lawn care equipment (NCL),STATEN ISLAND,2
Noise,Noise: Alarms (NR3),BRONX,6
Noise,Noise: Alarms (NR3),BROOKLYN,11
Noise,Noise: Alarms (NR3),MANHATTAN,12
Noise,Noise: Alarms (NR3),QUEENS,58
Noise,Noise: Alarms (NR3),STATEN ISLAND,2
Noise,Noise: Boat (NR10),BRONX,1
Noise,Noise: Boat (NR10),BROOKLYN,1
Noise,Noise: Boat (NR10),QUEENS,2
Noise,Noise: Construction Before/After Hours (NM1),BRONX,16
Noise,Noise: Construction Before/After Hours (NM1),BROOKLYN,111
Noise,Noise: Construction Before/After Hours (NM1),MANHATTAN,147
Noise,Noise: Construction Before/After Hours (NM1),QUEENS,67
Noise,Noise: Construction Before/After Hours (NM1),STATEN ISLAND,11
Noise,Noise: Construction Equipment (NC1),BRONX,7
Noise,Noise: Construction Equipment (NC1),BROOKLYN,57
Noise,Noise: Construction Equipment (NC1),MANHATTAN,62
Noise,Noise: Construction Equipment (NC1),QUEENS,24
Noise,Noise: Construction Equipment (NC1),STATEN ISLAND,4
Noise,Noise: Jack Hammering (NC2),BRONX,1
Noise,Noise: Jack Hammering (NC2),BROOKLYN,13
Noise,Noise: Jack Hammering (NC2),MANHATTAN,20
Noise,Noise: Jack Hammering (NC2),QUEENS,13
