complaint_type,complaint_desc,borough,count
APPLIANCE,ELECTRIC/GAS RANGE,BRONX,1161
APPLIANCE,ELECTRIC/GAS RANGE,BROOKLYN,903
APPLIANCE,ELECTRIC/GAS RANGE,MANHATTAN,572
APPLIANCE,ELECTRIC/GAS RANGE,QUEENS,353
APPLIANCE,ELECTRIC/GAS RANGE,STATEN ISLAND,71
APPLIANCE,MICROWAVE,MANHATTAN,2
APPLIANCE,REFRIGERATOR,BRONX,1129
APPLIANCE,REFRIGERATOR,BROOKLYN,841
APPLIANCE,REFRIGERATOR,MANHATTAN,402
APPLIANCE,REFRIGERATOR,QUEENS,318
APPLIANCE,REFRIGERATOR,STATEN ISLAND,57
Abandoned Vehicle,With License Plate,BRONX,2061
Abandoned Vehicle,With License Plate,BROOKLYN,3702
Abandoned Vehicle,With License Plate,MANHATTAN,787
Abandoned Vehicle,With License Plate,QUEENS,6660
Abandoned Vehicle,With License Plate,STATEN ISLAND,1212
Abandoned Vehicle,With License Plate,Unspecified,22
Air Quality,Air: Dust, Construction/Demolition (AE4),BRONX,56
Air Quality,Air: Dust, Construction/Demolition (AE4),BROOKLYN,196
Air Quality,Air: Dust, Construction/Demolition (AE4),MANHATTAN,139
Air Quality,Air: Dust, Construction/Demolition (AE4),QUEENS,112
Air Quality,Air: Dust, Construction/Demolition (AE4),STATEN ISLAND,9
Air Quality,Air: Dust, Other (Use Comments) (AE5),BRONX,12
Air Quality,Air: Dust, Other (Use Comments) (AE5),BROOKLYN,44
Air Quality,Air: Dust, Other (Use Comments) (AE5),MANHATTAN,17
Air Quality,Air: Dust, Other (Use Comments) (AE5),QUEENS,28
Air Quality,Air: Dust, Other (Use Comments) (AE5),STATEN ISLAND,2
Air Quality,Air: Odor, Nail Salon (AD8),BRONX,9
Air Quality,Air: Odor, Nail Salon (AD8),BROOKLYN,5
Air Quality,Air: Odor, Nail Salon (AD8),MANHATTAN,4
Air Quality,Air: Odor, Nail Salon (AD8),QUEENS,8
Air Quality,Air: Odor, Nail Salon (AD8),STATEN ISLAND,1
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),BRONX,2
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),BROOKLYN,5
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),MANHATTAN,4
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),QUEENS,6
Air Quality,Air: Odor/Fumes, Dry Cleaners (AD1),QUEENS,1
Air Quality,Air: Odor/Fumes, Other (Use Comments) (AD6),BRONX,2
Air Quality,Air: Odor/Fumes, Other (Use Comments) (AD6),BROOKLYN,1
Air Quality,Air: Odor/Fumes, Other (Use Comments) (AD6),QUEENS,3
Air Quality,Air: Odor/Fumes, Restaurant (AD2),BRONX,14
Air Quality,Air: Odor/Fumes, Restaurant (AD2),BROOKLYN,87
Air Quality,Air: Odor/Fumes, Restaurant (AD2),MANHATTAN,66
Air Quality,Air: Odor/Fumes, Restaurant (AD2),QUEENS,145
Air Quality,Air: Odor/Fumes, Restaurant (AD2),STATEN ISLAND,25
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),BRONX,109
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),BROOKLYN,513
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),MANHATTAN,396
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),QUEENS,325
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),STATEN ISLAND,78
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),BRONX,25
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),BROOKLYN,53
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),MANHATTAN,13
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),QUEENS,98
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),STATEN ISLAND,6
Air Quality,Air: Smoke, Chimney or vent (AS1),BRONX,113
Air Quality,Air: Smoke, Chimney or vent (AS1),BROOKLYN,52
Air Quality,Air: Smoke, Chimney or vent (AS1),MANHATTAN,173
Air Quality,Air: Smoke, Chimney or vent (AS1),QUEENS,53
Air Quality,Air: Smoke, Chimney or vent (AS1),STATEN ISLAND,8
Air Quality,Air: Smoke, Vehicular (AA4),BRONX,3
Air Quality,Air: Smoke, Vehicular (AA4),BROOKLYN,20
Air Quality,Air: Smoke, Vehicular (AA4),MANHATTAN,16
Air Quality,Air: Smoke, Vehicular (AA4),QUEENS,30
Air Quality,Air: Smoke, Vehicular (AA4),STATEN ISLAND,4
Animal in a Park,Animal Waste,BRONX,6
Animal in a Park,Animal Waste,BROOKLYN,23
Animal in a Park,Animal Waste,MANHATTAN,23
Animal in a Park,Animal Waste,QUEENS,14
Animal in a Park,Animal Waste,STATEN ISLAND,3
Animal in a Park,Dead Animal,BRONX,13
Animal in a Park,Dead Animal,BROOKLYN,42
Animal in a Park,Dead Animal,MANHATTAN,64
Animal in a Park,Dead Animal,QUEENS,33
Animal in a Park,Dead Animal,STATEN ISLAND,17
Animal in a Park,Dead Animal,Unspecified,2
Animal in a Park,Dog Off Leash,BRONX,27
Animal in a Park,Dog Off Leash,BROOKLYN,282
Animal in a Park,Dog Off Leash,MANHATTAN,195
Animal in a Park,Dog Off Leash,QUEENS,145
Animal in a Park,Dog Off Leash,STATEN ISLAND,14
Animal in a Park,Dog Off Leash,Unspecified,1
Animal in a Park,Domestic Strays,BRONX,9
Animal in a Park,Domestic Strays,BROOKLYN,22
Animal in a Park,Domestic Strays,MANHATTAN,16
Animal in a Park,Domestic Strays,QUEENS,15
Animal in a Park,Domestic Strays,STATEN ISLAND,7
Animal in a Park,Injured Wildlife,BRONX,31
Animal in a Park,Injured Wildlife,BROOKLYN,60
Animal in a Park,Injured Wildlife,MANHATTAN,97
Animal in a Park,Injured Wildlife,QUEENS,63
Animal in a Park,Injured Wildlife,STATEN ISLAND,80
Animal in a Park,Injured Wildlife,Unspecified,2
Animal in a Park,Removing Wildlife,BRONX,12
Animal in a Park,Removing Wildlife,BROOKLYN,15
Animal in a Park,Removing Wildlife,MANHATTAN,29
Animal in a Park,Removing Wildlife,QUEENS,22
Animal in a Park,Removing Wildlife,STATEN ISLAND,21
Animal in a Park,Wildlife Sighting,BRONX,14
Animal in a Park,Wildlife Sighting,BROOKLYN,27
Animal in a Park,Wildlife Sighting,MANHATTAN,37
Animal in a Park,Wildlife Sighting,QUEENS,21
Animal in a Park,Wildlife Sighting,STATEN ISLAND,12
Animal in a Park,Wildlife Sighting,Unspecified,1
Animal-Abuse,Chained,BRONX,68
Animal-Abuse,Chained,BROOKLYN,51
Animal-Abuse,Chained,MANHATTAN,18
Animal-Abuse,Chained,QUEENS,46
Animal-Abuse,Chained,STATEN ISLAND,14
Animal-Abuse,In Car,BRONX,9
Animal-Abuse,In Car,BROOKLYN,14
Animal-Abuse,In Car,MANHATTAN,11
Animal-Abuse,In Car,QUEENS,13
Animal-Abuse,In Car,STATEN ISLAND,3
Animal-Abuse,Neglected,BRONX,287
Animal-Abuse,Neglected,BROOKLYN,470
Animal-Abuse,Neglected,MANHATTAN,255
Animal-Abuse,Neglected,QUEENS,349
Animal-Abuse,Neglected,STATEN ISLAND,107
Animal-Abuse,No Shelter,BRONX,27
Animal-Abuse,No Shelter,BROOKLYN,51
Animal-Abuse,No Shelter,MANHATTAN,32
Animal-Abuse,No Shelter,QUEENS,43
Animal-Abuse,No Shelter,STATEN ISLAND,38
Animal-Abuse,Other (complaint details),BRONX,144
