complaint_type,complaint_desc,borough,count
APPLIANCE,ELECTRIC/GAS RANGE,BRONX,435
APPLIANCE,ELECTRIC/GAS RANGE,BROOKLYN,448
APPLIANCE,ELECTRIC/GAS RANGE,MANHATTAN,272
APPLIANCE,ELECTRIC/GAS RANGE,QUEENS,135
APPLIANCE,ELECTRIC/GAS RANGE,STATEN ISLAND,28
APPLIANCE,REFRIGERATOR,BRONX,193
APPLIANCE,REFRIGERATOR,BROOKLYN,137
APPLIANCE,REFRIGERATOR,MANHATTAN,95
APPLIANCE,REFRIGERATOR,QUEENS,59
APPLIANCE,REFRIGERATOR,STATEN ISLAND,11
Abandoned Vehicle,With License Plate,BRONX,1186
Abandoned Vehicle,With License Plate,BROOKLYN,2561
Abandoned Vehicle,With License Plate,MANHATTAN,241
Abandoned Vehicle,With License Plate,QUEENS,4303
Abandoned Vehicle,With License Plate,STATEN ISLAND,826
Abandoned Vehicle,With License Plate,Unspecified,5
Air Quality,Air: Dust, Construction/Demolition (AE4),BRONX,22
Air Quality,Air: Dust, Construction/Demolition (AE4),BROOKLYN,79
Air Quality,Air: Dust, Construction/Demolition (AE4),MANHATTAN,77
Air Quality,Air: Dust, Construction/Demolition (AE4),QUEENS,38
Air Quality,Air: Dust, Construction/Demolition (AE4),STATEN ISLAND,2
Air Quality,Air: Dust, Other (Use Comments) (AE5),BRONX,5
Air Quality,Air: Dust, Other (Use Comments) (AE5),BROOKLYN,8
Air Quality,Air: Dust, Other (Use Comments) (AE5),MANHATTAN,6
Air Quality,Air: Dust, Other (Use Comments) (AE5),QUEENS,6
Air Quality,Air: Dust, Other (Use Comments) (AE5),STATEN ISLAND,3
Air Quality,Air: Odor, Nail Salon (AD8),BRONX,9
Air Quality,Air: Odor, Nail Salon (AD8),BROOKLYN,11
Air Quality,Air: Odor, Nail Salon (AD8),MANHATTAN,9
Air Quality,Air: Odor, Nail Salon (AD8),QUEENS,14
Air Quality,Air: Odor, Nail Salon (AD8),STATEN ISLAND,1
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),BROOKLYN,2
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),MANHATTAN,3
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),QUEENS,1
Air Quality,Air: Odor, Sweet From Unknown Source (AZ1),STATEN ISLAND,1
Air Quality,Air: Odor/Fumes, Dry Cleaners (AD1),QUEENS,1
Air Quality,Air: Odor/Fumes, Other (Use Comments) (AD6),MANHATTAN,1
Air Quality,Air: Odor/Fumes, Restaurant (AD2),BRONX,12
Air Quality,Air: Odor/Fumes, Restaurant (AD2),BROOKLYN,30
Air Quality,Air: Odor/Fumes, Restaurant (AD2),MANHATTAN,61
Air Quality,Air: Odor/Fumes, Restaurant (AD2),QUEENS,51
Air Quality,Air: Odor/Fumes, Restaurant (AD2),STATEN ISLAND,24
Air Quality,Air: Odor/Fumes, Vehicle Idling (AD3),BRONX,52
