complaint_type,complaint_desc,borough,count
Food Establishment,Rodents/Insects/Garbage,BRONX,Cafeteria - Private School,1
Food Establishment,Rodents/Insects/Garbage,QUEENS,Cafeteria - Private School,1
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Catering Service,2
Food Establishment,Rodents/Insects/Garbage,QUEENS,Catering Service,2
Food Establishment,Rodents/Insects/Garbage,Unspecified,Catering Service,1
Food Establishment,Rodents/Insects/Garbage,BRONX,Other (Explain Below),8
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Other (Explain Below),18
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Other (Explain Below),6
Food Establishment,Rodents/Insects/Garbage,QUEENS,Other (Explain Below),13
Food Establishment,Rodents/Insects/Garbage,STATEN ISLAND,Other (Explain Below),3
Food Establishment,Rodents/Insects/Garbage,Unspecified,Other (Explain Below),10
Food Establishment,Rodents/Insects/Garbage,BRONX,Restaurant/Bar/Deli/Bakery,66
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Restaurant/Bar/Deli/Bakery,235
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Restaurant/Bar/Deli/Bakery,158
Food Establishment,Rodents/Insects/Garbage,QUEENS,Restaurant/Bar/Deli/Bakery,170
Food Establishment,Rodents/Insects/Garbage,STATEN ISLAND,Restaurant/Bar/Deli/Bakery,86
Food Establishment,Rodents/Insects/Garbage,Unspecified,Restaurant/Bar/Deli/Bakery,92
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Soup Kitchen,1
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Soup Kitchen,1
Food Establishment,Rodents/Insects/Garbage,STATEN ISLAND,Soup Kitchen,2
Food Establishment,Rodents/Insects/Garbage,Unspecified,Street Fair Vendor,1
Maintenance or Facility,Rodent Sighting,BRONX,Park,36
Maintenance or Facility,Rodent Sighting,BROOKLYN,Park,91
Maintenance or Facility,Rodent Sighting,MANHATTAN,Park,161
Maintenance or Facility,Rodent Sighting,QUEENS,Park,68
Maintenance or Facility,Rodent Sighting,STATEN ISLAND,Park,8
Maintenance or Facility,Rodent Sighting,BRONX,Street/Curbside,4
Maintenance or Facility,Rodent Sighting,BROOKLYN,Street/Curbside,12
Maintenance or Facility,Rodent Sighting,MANHATTAN,Street/Curbside,8
Maintenance or Facility,Rodent Sighting,QUEENS,Street/Curbside,9
Rodent,Condition Attracting Rodents,BRONX,1-2 Family Dwelling,141
Rodent,Condition Attracting Rodents,BROOKLYN,1-2 Family Dwelling,266
Rodent,Condition Attracting Rodents,MANHATTAN,1-2 Family Dwelling,24
Rodent,Condition Attracting Rodents,QUEENS,1-2 Family Dwelling,395
Rodent,Condition Attracting Rodents,STATEN ISLAND,1-2 Family Dwelling,147
Rodent,Condition Attracting Rodents,BRONX,1-2 Family Mixed Use Building,5
Rodent,Condition Attracting Rodents,BROOKLYN,1-2 Family Mixed Use Building,33
Rodent,Condition Attracting Rodents,MANHATTAN,1-2 Family Mixed Use Building,7
