complaint_type,complaint_desc,borough,count
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Cafeteria - College/University,1
Food Establishment,Rodents/Insects/Garbage,QUEENS,Catering Service,1
Food Establishment,Rodents/Insects/Garbage,BRONX,Other (Explain Below),1
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Other (Explain Below),4
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Other (Explain Below),2
Food Establishment,Rodents/Insects/Garbage,QUEENS,Other (Explain Below),3
Food Establishment,Rodents/Insects/Garbage,Unspecified,Other (Explain Below),2
Food Establishment,Rodents/Insects/Garbage,BRONX,Restaurant/Bar/Deli/Bakery,10
Food Establishment,Rodents/Insects/Garbage,BROOKLYN,Restaurant/Bar/Deli/Bakery,49
Food Establishment,Rodents/Insects/Garbage,MANHATTAN,Restaurant/Bar/Deli/Bakery,31
Food Establishment,Rodents/Insects/Garbage,QUEENS,Restaurant/Bar/Deli/Bakery,38
Food Establishment,Rodents/Insects/Garbage,STATEN ISLAND,Restaurant/Bar/Deli/Bakery,9
Food Establishment,Rodents/Insects/Garbage,Unspecified,Restaurant/Bar/Deli/Bakery,16
Maintenance or Facility,Rodent Sighting,BRONX,Park,12
Maintenance or Facility,Rodent Sighting,BROOKLYN,Park,22
Maintenance or Facility,Rodent Sighting,MANHATTAN,Park,59
Maintenance or Facility,Rodent Sighting,QUEENS,Park,25
Maintenance or Facility,Rodent Sighting,STATEN ISLAND,Park,2
Maintenance or Facility,Rodent Sighting,Unspecified,Park,1
Maintenance or Facility,Rodent Sighting,BROOKLYN,Street/Curbside,5
Maintenance or Facility,Rodent Sighting,MANHATTAN,Street/Curbside,4
Maintenance or Facility,Rodent Sighting,QUEENS,Street/Curbside,2
Rodent,Condition Attracting Rodents,BRONX,1-2 Family Dwelling,24
Rodent,Condition Attracting Rodents,BROOKLYN,1-2 Family Dwelling,45
Rodent,Condition Attracting Rodents,MANHATTAN,1-2 Family Dwelling,4
Rodent,Condition Attracting Rodents,QUEENS,1-2 Family Dwelling,49
Rodent,Condition Attracting Rodents,STATEN ISLAND,1-2 Family Dwelling,24
Rodent,Condition Attracting Rodents,BRONX,1-2 Family Mixed Use Building,1
Rodent,Condition Attracting Rodents,BROOKLYN,1-2 Family Mixed Use Building,3
Rodent,Condition Attracting Rodents,QUEENS,1-2 Family Mixed Use Building,3
Rodent,Condition Attracting Rodents,STATEN ISLAND,1-2 Family Mixed Use Building,1
Rodent,Condition Attracting Rodents,BRONX,3+ Family Apt. Building,48
Rodent,Condition Attracting Rodents,BROOKLYN,3+ Family Apt. Building,79
Rodent,Condition Attracting Rodents,MANHATTAN,3+ Family Apt. Building,54
Rodent,Condition Attracting Rodents,QUEENS,3+ Family Apt. Building,25
Rodent,Condition Attracting Rodents,STATEN ISLAND,3+ Family Apt. Building,3
Rodent,Condition Attracting Rodents,Unspecified,3+ Family Apt. Building,1
Rodent,Condition Attracting Rodents,BRONX,3+ Family Mixed Use Building,3
Rodent,Condition Attracting Rodents,BROOKLYN,3+ Family Mixed Use Building,10
Rodent,Condition Attracting Rodents,MANHATTAN,3+ Family Mixed Use Building,8
Rodent,Condition Attracting Rodents,QUEENS,3+ Family Mixed Use Building,1
Rodent,Condition Attracting Rodents,BROOKLYN,Catch Basin/Sewer,1
Rodent,Condition Attracting Rodents,MANHATTAN,Catch Basin/Sewer,1
Rodent,Condition Attracting Rodents,BRONX,Commercial Building,5
Rodent,Condition Attracting Rodents,BROOKLYN,Commercial Building,21
Rodent,Condition Attracting Rodents,MANHATTAN,Commercial Building,9
Rodent,Condition Attracting Rodents,QUEENS,Commercial Building,18
Rodent,Condition Attracting Rodents,STATEN ISLAND,Commercial Building,2
Rodent,Condition Attracting Rodents,BROOKLYN,Construction Site,2
Rodent,Condition Attracting Rodents,MANHATTAN,Construction Site,2
Rodent,Condition Attracting Rodents,STATEN ISLAND,Construction Site,1
Rodent,Condition Attracting Rodents,MANHATTAN,Day Care/Nursery,1
Rodent,Condition Attracting Rodents,QUEENS,Day Care/Nursery,1
Rodent,Condition Attracting Rodents,MANHATTAN,Government Building,1
Rodent,Condition Attracting Rodents,BRONX,Other (Explain Below),4
Rodent,Condition Attracting Rodents,BROOKLYN,Other (Explain Below),14
Rodent,Condition Attracting Rodents,MANHATTAN,Other (Explain Below),5
Rodent,Condition Attracting Rodents,QUEENS,Other (Explain Below),13
Rodent,Condition Attracting Rodents,STATEN ISLAND,Other (Explain Below),4
Rodent,Condition Attracting Rodents,BROOKLYN,Parking Lot/Garage,6
Rodent,Condition Attracting Rodents,MANHATTAN,Parking Lot/Garage,1
Rodent,Condition Attracting Rodents,QUEENS,Parking Lot/Garage,6
Rodent,Condition Attracting Rodents,MANHATTAN,Public Garden,2
Rodent,Condition Attracting Rodents,BRONX,Public Stairs,1
Rodent,Condition Attracting Rodents,MANHATTAN,School/Pre-School,1
Rodent,Condition Attracting Rodents,BRONX,Vacant Building,1
Rodent,Condition Attracting Rodents,BROOKLYN,Vacant Building,4
Rodent,Condition Attracting Rodents,QUEENS,Vacant Building,2
Rodent,Condition Attracting Rodents,BRONX,Vacant Lot,1
Rodent,Condition Attracting Rodents,BROOKLYN,Vacant Lot,6
Rodent,Condition Attracting Rodents,MANHATTAN,Vacant Lot,4
Rodent,Condition Attracting Rodents,QUEENS,Vacant Lot,5
Rodent,Condition Attracting Rodents,STATEN ISLAND,Vacant Lot,1
Rodent,Mouse Sighting,BRONX,1-2 Family Dwelling,7
Rodent,Mouse Sighting,BROOKLYN,1-2 Family Dwelling,13
Rodent,Mouse Sighting,MANHATTAN,1-2 Family Dwelling,4
Rodent,Mouse Sighting,QUEENS,1-2 Family Dwelling,11
Rodent,Mouse Sighting,STATEN ISLAND,1-2 Family Dwelling,2
Rodent,Mouse Sighting,BROOKLYN,1-2 Family Mixed Use Building,3
Rodent,Mouse Sighting,MANHATTAN,1-2 Family Mixed Use Building,1
Rodent,Mouse Sighting,QUEENS,1-2 Family Mixed Use Building,1
Rodent,Mouse Sighting,BRONX,3+ Family Apt. Building,39
Rodent,Mouse Sighting,BROOKLYN,3+ Family Apt. Building,52
Rodent,Mouse Sighting,MANHATTAN,3+ Family Apt. Building,48
Rodent,Mouse Sighting,QUEENS,3+ Family Apt. Building,22
Rodent,Mouse Sighting,STATEN ISLAND,3+ Family Apt. Building,2
Rodent,Mouse Sighting,BRONX,3+ Family Mixed Use Building,5
Rodent,Mouse Sighting,BROOKLYN,3+ Family Mixed Use Building,2
Rodent,Mouse Sighting,MANHATTAN,3+ Family Mixed Use Building,3
Rodent,Mouse Sighting,QUEENS,3+ Family Mixed Use Building,1
Rodent,Mouse Sighting,BROOKLYN,Commercial Building,3
Rodent,Mouse Sighting,MANHATTAN,Commercial Building,2
Rodent,Mouse Sighting,QUEENS,Commercial Building,3
Rodent,Mouse Sighting,STATEN ISLAND,Commercial Building,1
Rodent,Mouse Sighting,QUEENS,Day Care/Nursery,1
Rodent,Mouse Sighting,BRONX,Government Building,1
Rodent,Mouse Sighting,BRONX,Other (Explain Below),5
Rodent,Mouse Sighting,BROOKLYN,Other (Explain Below),7
Rodent,Mouse Sighting,MANHATTAN,Other (Explain Below),5
Rodent,Mouse Sighting,QUEENS,Other (Explain Below),3
Rodent,Mouse Sighting,BROOKLYN,Vacant Building,1
Rodent,Mouse Sighting,BROOKLYN,Vacant Lot,1
Rodent,Rat Sighting,BRONX,1-2 Family Dwelling,38
Rodent,Rat Sighting,BROOKLYN,1-2 Family Dwelling,112
